COD_VIA;nombreOriginal;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
1978;ALAMO NEGRO;PUENTE;DEL; ALAMO NEGRO;ÁLAMO NEGRO;9;;;;;;ALAMO NEGRO
1978;ALAMO NEGRO;PUENTE;DEL; ALAMO NEGRO;ÁLAMO NEGRO;9;;;;;;ALAMO NEGRO
31001239;ALAN TURING;CALLE;DE; ALAN TURING;ALAN TURING;13;1;3;;;;ALAN TURING
13900;ALANIS;CALLE;DE; ALANIS;ALANIS;21;1;7;2;8;;ALANIS
14000;ALAR DEL REY;CALLE;DE; ALAR DEL REY;ALAR DEL REY;21;3;41;2;70;;ALAR REY
14100;ALARICO;CALLE;DE; ALARICO;ALARICO;11;1;57;2;56;;ALARICO
14200;ALARO;CALLE;DE; ALARO;ALARÓ;21;1;21;2;20;;ALARO
14250;ALARO;TRAVESÍA;DE; ALARO;ALARÓ;21;1;9;2;12;;ALARO
14300;ALAS;CALLE;DE LAS; ALAS;ALAS;21;19;33;2;30;;ALAS
14400;ALATERNO;CALLE;DEL; ALATERNO;ALATERNO;5;;;4;4;;ALATERNO
14500;ALAVA;CALLE;DE; ALAVA;ÁLAVA;15;1;15;2;20;;ALAVA
14600;ALBA;CALLE;DEL; ALBA;ALBA;16;1;21;2;16;;ALBA
14700;ALBA DE TORMES;CALLE;DE; ALBA DE TORMES;ALBA DE TORMES;11;1;51;2;30;;ALBA TORMES
14750;ALBACETE;CALLE;DE; ALBACETE;ALBACETE;15;1;7;2;12;;ALBACETE
14800;ALBADALEJO;CALLE;DE; ALBADALEJO;ALBADALEJO;20;1;19;2;52;;ALBADALEJO
14900;ALBAHACA;CALLE;DE LA; ALBAHACA;ALBAHACA;16;;;2;12;;ALBAHACA
15050;ALBAICIN;CALLE;DE; ALBAICIN;ALBAICÍN;12;1;19;2;14;;ALBAICIN
15100;ALBAIDA;CALLE;DE; ALBAIDA;ALBAIDA;20;1;3;6;94;;ALBAIDA
15200;ALBALA;CALLE;DE; ALBALA;ALBALÁ;20;3;17;2;20;;ALBALA
15300;ALBALATE DEL ARZOBISPO;CALLE;DE; ALBALATE DEL ARZOBISPO;ALBALATE DEL ARZOBISPO;13;1;13;2;14;;ALBALATE ARZOBISPO
2455;ALBANIA;CALLE;DE; ALBANIA;ALBANIA;20;1;19;2;8;;ALBANIA
15400;ALBAÑILERIA;CALLE;DE LA; ALBAÑILERIA;ALBAÑILERÍA;20;5;15;2;20;;ALBAÑILERIA
983;ALBARDIN;CALLE;DEL; ALBARDIN;ALBARDÍN;12;1;7;2;8;;ALBARDIN
15500;ALBARES DE LA RIBERA;CALLE;DE; ALBARES DE LA RIBERA;ALBARES DE LA RIBERA;11;1;27;2;62;;ALBARES RIBERA
15600;ALBARICOQUE;CALLE;DEL; ALBARICOQUE;ALBARICOQUE;11;1;11;2;2;;ALBARICOQUE
15700;ALBARRACIN;CALLE;DE; ALBARRACIN;ALBARRACÍN;20;1;41;2;60;;ALBARRACIN
15800;ALBASANZ;CALLE;DE; ALBASANZ;ALBASANZ;20;1;81;2;84;;ALBASANZ
15900;ALBATANA;CALLE;DE; ALBATANA;ALBATANA;16;1;5;2;6;;ALBATANA
16000;ALBATROS;CALLE;DEL; ALBATROS;ALBATROS;11;1;23;2;20;;ALBATROS
